"All assets information, media account 'dolphmediasvc301'"
Exported with Azure Media Services Explorer v5.8.1.0 on 6/10/2024 11:30:16 AM. Dates are local.
Asset name,Description,Alternate Id,Asset Id,Created time,Last modified time,Storage account,Storage container,Asset type,Size,Streaming locators count,In MK/IO,Locator name #1,Created time,Start time,End time,Streaming Urls with streaming endpoint #0
output-03ee6dd2f4474abf9549adf6a6927814,,,07f1e495-6a24-40f9-a622-de86ccc2e1b4,8/12/2020 10:58:00 AM,8/12/2020 10:58:00 AM,dolphmediastorage301,asset-07f1e495-6a24-40f9-a622-de86ccc2e1b4,Multi Bitrate MP4 (4),10886854,1,True,locator-03ee6dd2f4474abf9549adf6a6927814,8/12/2020 10:59:01 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/d5a46f7a-b9d6-4fbd-b56d-fd2dfbff8a17/BridgeMxIncisor_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/d5a46f7a-b9d6-4fbd-b56d-fd2dfbff8a17/BridgeMxIncisor_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/d5a46f7a-b9d6-4fbd-b56d-fd2dfbff8a17/BridgeMxIncisor_Watermarked.ism/manifest(encryption=cenc)"
output-0494c9587fe545798bf4ab5cf5bb407d,,,cd647f3f-3596-47e5-a071-025bdcde165a,8/12/2020 7:04:57 PM,8/12/2020 7:04:57 PM,dolphmediastorage301,asset-cd647f3f-3596-47e5-a071-025bdcde165a,Multi Bitrate MP4 (4),34621732,1,True,locator-0494c9587fe545798bf4ab5cf5bb407d,8/12/2020 7:05:59 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/a843a52b-5288-43a8-8799-51a8198b63f5/TMJArthroplasty_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/a843a52b-5288-43a8-8799-51a8198b63f5/TMJArthroplasty_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/a843a52b-5288-43a8-8799-51a8198b63f5/TMJArthroplasty_Watermarked.ism/manifest(encryption=cenc)"
output-0535ec38a72c4c7bab7e612be14e9c90,,,cabf7e86-d390-49a3-989a-6dd3b25432e8,8/12/2020 5:29:57 PM,8/12/2020 5:29:57 PM,dolphmediastorage301,asset-cabf7e86-d390-49a3-989a-6dd3b25432e8,Multi Bitrate MP4 (4),10163741,1,True,locator-0535ec38a72c4c7bab7e612be14e9c90,8/12/2020 5:30:58 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/96e57d84-6359-41ee-a372-43ee836a3811/RestoreFluorideVarnish_Watermark.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/96e57d84-6359-41ee-a372-43ee836a3811/RestoreFluorideVarnish_Watermark.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/96e57d84-6359-41ee-a372-43ee836a3811/RestoreFluorideVarnish_Watermark.ism/manifest(encryption=cenc)"
output-055c2a6e0fc0420d8a08e14546c40cef,,,a37b6ce7-1fa5-463f-bb06-e5b78f6595a0,8/12/2020 11:46:42 AM,8/12/2020 11:46:42 AM,dolphmediastorage301,asset-a37b6ce7-1fa5-463f-bb06-e5b78f6595a0,Multi Bitrate MP4 (4),1955623,1,True,locator-055c2a6e0fc0420d8a08e14546c40cef,8/12/2020 11:47:43 AM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/b7edc704-a4fe-4f21-8cfc-7496ce9417b0/ClassIPalatalCrossbiteTextured_W.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b7edc704-a4fe-4f21-8cfc-7496ce9417b0/ClassIPalatalCrossbiteTextured_W.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/b7edc704-a4fe-4f21-8cfc-7496ce9417b0/ClassIPalatalCrossbiteTextured_W.ism/manifest(encryption=cenc)"
output-05c3bbe4f33e481fb981588d007a3141,,,274fe121-c6f0-4adc-b4d6-c9319f09fc2d,8/12/2020 3:57:52 PM,8/12/2020 3:57:52 PM,dolphmediastorage301,asset-274fe121-c6f0-4adc-b4d6-c9319f09fc2d,Multi Bitrate MP4 (4),28922627,1,True,locator-05c3bbe4f33e481fb981588d007a3141,8/12/2020 3:58:54 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/0b208819-f834-4fc5-9630-e7963dd6efe6/MdAdvancementCW_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/0b208819-f834-4fc5-9630-e7963dd6efe6/MdAdvancementCW_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/0b208819-f834-4fc5-9630-e7963dd6efe6/MdAdvancementCW_Watermarked.ism/manifest(encryption=cenc)"
output-05ca520b11d5475da79fe660f0369873,,,f68f58a1-e34e-4cb7-be69-ed7e9bfdb218,8/12/2020 2:09:50 PM,8/12/2020 2:09:50 PM,dolphmediastorage301,asset-f68f58a1-e34e-4cb7-be69-ed7e9bfdb218,Multi Bitrate MP4 (4),7633501,1,True,locator-05ca520b11d5475da79fe660f0369873,8/12/2020 2:10:51 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/7ff13757-f0c4-4082-bebc-0ca5ce857c7b/HawleyApplianceMd_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/7ff13757-f0c4-4082-bebc-0ca5ce857c7b/HawleyApplianceMd_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/7ff13757-f0c4-4082-bebc-0ca5ce857c7b/HawleyApplianceMd_Watermarked.ism/manifest(encryption=cenc)"
output-05f40282994d4c4db10a0fad297e1e6f,,,627ef5a9-2cb6-4289-99f4-0857362ed640,8/12/2020 4:08:50 PM,8/12/2020 4:08:50 PM,dolphmediastorage301,asset-627ef5a9-2cb6-4289-99f4-0857362ed640,Multi Bitrate MP4 (4),21009093,1,True,locator-05f40282994d4c4db10a0fad297e1e6f,8/12/2020 4:09:52 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/9341631a-e990-4b26-acf5-0e433e7cdaa4/MxAdvanceMdSetbackCW_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/9341631a-e990-4b26-acf5-0e433e7cdaa4/MxAdvanceMdSetbackCW_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/9341631a-e990-4b26-acf5-0e433e7cdaa4/MxAdvanceMdSetbackCW_Watermarked.ism/manifest(encryption=cenc)"
output-0620a352b46e4ce986ab6e621f8e71f3,,,45577bff-4c45-40b2-a0b9-ad33a9c6bafd,8/12/2020 1:19:14 PM,8/12/2020 1:19:14 PM,dolphmediastorage301,asset-45577bff-4c45-40b2-a0b9-ad33a9c6bafd,Multi Bitrate MP4 (4),7968595,1,True,locator-0620a352b46e4ce986ab6e621f8e71f3,8/12/2020 1:20:15 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/4d259b4d-2716-4ada-957e-007a411baaa0/FirstBicuspidExtractionBadOutcom.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/4d259b4d-2716-4ada-957e-007a411baaa0/FirstBicuspidExtractionBadOutcom.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/4d259b4d-2716-4ada-957e-007a411baaa0/FirstBicuspidExtractionBadOutcom.ism/manifest(encryption=cenc)"
output-062b289775e648069236956d64a013b5,,,51a63de5-a85e-4bb7-879a-f44597e4469e,8/12/2020 4:56:28 PM,8/12/2020 4:56:28 PM,dolphmediastorage301,asset-51a63de5-a85e-4bb7-879a-f44597e4469e,Multi Bitrate MP4 (4),24094454,1,True,locator-062b289775e648069236956d64a013b5,8/12/2020 4:57:29 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/ecb26b69-b4cb-4d96-9f9d-5d48118fbaf8/PokingWires_Watermarked.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/ecb26b69-b4cb-4d96-9f9d-5d48118fbaf8/PokingWires_Watermarked.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/ecb26b69-b4cb-4d96-9f9d-5d48118fbaf8/PokingWires_Watermarked.ism/manifest(encryption=cenc)"
output-07d5ce1de3524348a1c643ee645706d5,,,601419eb-0e19-49a0-afb0-561aeb965165,8/12/2020 5:35:30 PM,8/12/2020 5:35:30 PM,dolphmediastorage301,asset-601419eb-0e19-49a0-afb0-561aeb965165,Multi Bitrate MP4 (4),24072885,1,True,locator-07d5ce1de3524348a1c643ee645706d5,8/12/2020 5:36:32 PM,,12/31/9999 5:59:59 PM,"https://dolphmediasvc301-usno1.streaming.media.azure.net/e81b2cd4-35c1-42ab-9f99-e40740d5084f/RestoreMxPosteriorCompositePrima.ism/manifest(format=mpd-time-csf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/e81b2cd4-35c1-42ab-9f99-e40740d5084f/RestoreMxPosteriorCompositePrima.ism/manifest(format=mpd-time-cmaf,encryption=cenc), https://dolphmediasvc301-usno1.streaming.media.azure.net/e81b2cd4-35c1-42ab-9f99-e40740d5084f/RestoreMxPosteriorCompositePrima.ism/manifest(encryption=cenc)"
